carat,cut,color,clarity,depth_prcnt,table_prcnt,length,price
0.23,2,1,3,61.5,55.0,3.95,326
0.21,3,1,2,59.8,61.0,3.89,326
0.23,1,1,4,56.9,65.0,4.05,327
0.29,3,5,5,62.4,58.0,4.2,334
0.31,1,6,3,63.3,58.0,4.34,335
0.24,4,6,7,62.8,57.0,3.94,336
0.24,4,5,6,62.3,57.0,3.95,336
0.26,4,4,2,61.9,55.0,4.07,337
0.22,0,1,5,65.1,61.0,3.87,337
0.23,4,4,4,59.4,61.0,4.0,338
0.3,1,6,2,64.0,55.0,4.25,339
0.23,2,6,4,62.8,56.0,3.93,340
0.22,3,2,2,60.4,61.0,3.88,342
0.31,2,6,3,62.2,54.0,4.35,344
0.2,3,1,3,60.2,62.0,3.79,345
0.32,3,1,0,60.9,58.0,4.38,345
0.3,2,5,3,62.0,54.0,4.31,348
0.3,1,6,2,63.4,54.0,4.23,351
0.3,1,6,2,63.8,56.0,4.23,351
0.3,4,6,2,62.7,59.0,4.21,351
0.3,1,5,3,63.3,56.0,4.26,351
0.23,4,1,5,63.8,55.0,3.85,352
0.23,4,4,4,61.0,57.0,3.94,353
0.31,4,6,2,59.4,62.0,4.39,353
0.31,4,6,2,58.1,62.0,4.44,353
0.23,4,3,7,60.4,58.0,3.97,354
0.24,3,5,4,62.5,57.0,3.97,355
0.3,4,6,5,62.2,57.0,4.28,357
0.23,4,0,5,60.5,61.0,3.96,357
0.23,4,2,4,60.9,57.0,3.96,357
0.23,4,2,4,60.0,57.0,4.0,402
0.23,4,2,4,59.8,57.0,4.04,402
0.23,4,1,4,60.7,59.0,3.97,402
0.23,4,1,4,59.5,58.0,4.01,402
0.23,4,0,4,61.9,58.0,3.92,402
0.23,1,2,4,58.2,59.0,4.06,402
0.23,1,1,4,64.1,59.0,3.83,402
0.31,1,4,2,64.0,54.0,4.29,402
0.26,4,0,5,60.8,59.0,4.13,403
0.33,2,5,3,61.8,55.0,4.49,403
0.33,2,5,3,61.2,56.0,4.49,403
0.33,2,6,2,61.1,56.0,4.49,403
0.26,1,0,5,65.2,56.0,3.99,403
0.26,1,0,4,58.4,63.0,4.19,403
0.32,1,4,3,63.1,56.0,4.34,403
0.29,3,2,2,62.4,58.0,4.24,403
0.32,4,4,3,61.8,55.0,4.35,403
0.32,1,4,3,63.8,56.0,4.36,403
0.25,4,1,5,63.3,60.0,4.0,404
0.29,4,4,3,60.7,60.0,4.33,404
0.24,4,2,2,60.9,61.0,4.02,404
0.23,2,3,4,61.9,54.0,3.93,404
0.32,2,5,2,60.9,55.0,4.45,404
0.22,3,1,5,61.6,58.0,3.93,404
0.22,3,0,5,59.3,62.0,3.91,404
